05 GPa Pb-O T[K]= 5000.00 rho[g/cc]= 2.21685013 rmax[A] 2.41766861122 rmin[A]= 3.66724723592 CN(rmin)= 7.44942869219 +- 0.00208530570339 Nj= 49 Nj/V[1/A^3]= 0.0403249640098
10 GPa Pb-O T[K]= 5000.00 rho[g/cc]= 2.58678347 rmax[A] 2.51444602395 rmin[A]= 3.57132763414 CN(rmin)= 8.27870819452 +- 0.51522015114 Nj= 49 Nj/V[1/A^3]= 0.0470541282842
#13 GPa   Pb-O  T[K]=  5000.00  rho[g/cc]=  2.77657781  rmax[A]  2.36269088919  rmin[A]=  2.7955418911   CN(rmin)=  4.09137704646  +-  2.29010379484     Nj=  49  Nj/V[1/A^3]=  0.0505065268656
14 GPa Pb-O T[K]= 5000.00 rho[g/cc]= 2.74758524 rmax[A] 2.37798726916 rmin[A]= 3.59143160597 CN(rmin)= 9.3500660221 +- 0.51966186761 Nj= 49 Nj/V[1/A^3]= 0.0499791459463
25 GPa Pb-O T[K]= 5000.00 rho[g/cc]= 3.10649971 rmax[A] 2.45506676507 rmin[A]= 3.82140276903 CN(rmin)= 12.3764769199 +- 0.262260321791 Nj= 49 Nj/V[1/A^3]= 0.0565078746951
35 GPa Pb-O T[K]= 5000.00 rho[g/cc]= 3.39371057 rmax[A] 2.29826815095 rmin[A]= 3.45759247499 CN(rmin)= 9.8993970169 +- 0.137355908765 Nj= 49 Nj/V[1/A^3]= 0.0617322997965
50 GPa Pb-O T[K]= 5000.00 rho[g/cc]= 3.6905333 rmax[A] 2.34925356722 rmin[A]= 3.38234202131 CN(rmin)= 10.282244751 +- 0.105490402304 Nj= 49 Nj/V[1/A^3]= 0.0671315669245
75 GPa Pb-O T[K]= 5000.00 rho[g/cc]= 4.0951077 rmax[A] 2.3107185511 rmin[A]= 3.44357847128 CN(rmin)= 11.8946534719 +- 0.0358406690293 Nj= 49 Nj/V[1/A^3]= 0.0744908591578
100 GPa Pb-O T[K]= 5000.00 rho[g/cc]= 4.39530441 rmax[A] 2.27189911099 rmin[A]= 3.36950715077 CN(rmin)= 11.7322803835 +- 0.0111228715185 Nj= 49 Nj/V[1/A^3]= 0.0799514996682



#05   GPa  Pb-O  T[K]=  5000.00  rho[g/cc]=  2.21685013  rmin=  3.78976371257  CN(rmin)=  8.26497055359  +-  0.00429158566097  Nj=  49  Nj/V[1/A^3]=  0.0403249640098
##10   GPa  Pb-O  T[K]=  5000.00  rho[g/cc]=  2.58678347  rmin=  3.92365778257  CN(rmin)=  10.8712505148  +-  0.242248873853    Nj=  49  Nj/V[1/A^3]=  0.0470541282842
#10   GPa Pb-O T[K]= 5000.00 rho[g/cc]= 2.58678347 rmin= 3.57132763414 CN(rmin)= 8.27870819452 +- 0.51522015114 Nj= 49 Nj/V[1/A^3]= 0.0470541282842
##13   GPa  Pb-O  T[K]=  5000.00  rho[g/cc]=  2.77657781  rmin=  3.84275190069  CN(rmin)=  11.1493139317  +-  0.231116409185    Nj=  49  Nj/V[1/A^3]=  0.0505065268656
##15   GPa  Pb-O  T[K]=  5000.00  rho[g/cc]=  2.74758524  rmin=  3.6611051349   CN(rmin)=  9.82488775141  +-  0.150919503436    Nj=  49  Nj/V[1/A^3]=  0.0499791459463
#15   GPa Pb-O T[K]= 5000.00 rho[g/cc]= 2.74758524 rmin= 3.1166861278 CN(rmin)= 6.27127209902 +- 1.9776730796 Nj= 49 Nj/V[1/A^3]= 0.0499791459463
##25   GPa  Pb-O  T[K]=  5000.00  rho[g/cc]=  3.10649971  rmin=  3.76852946989  CN(rmin)=  11.9531595143  +-  0.123206126078    Nj=  49  Nj/V[1/A^3]=  0.0565078746951
#25 GPa Pb-O T[K]= 5000.00 rho[g/cc]= 3.10649971 rmin= 3.82140276903 CN(rmin)= 12.3764769199 +- 5.5632829      Nj= 49 Nj/V[1/A^3]= 0.0565078746951
#35   GPa  Pb-O  T[K]=  5000.00  rho[g/cc]=  3.39371057  rmin=  3.33675290136  CN(rmin)=  9.01602728123  +-  3.49638136844     Nj=  49  Nj/V[1/A^3]=  0.0617322997965
#50   GPa  Pb-O  T[K]=  5000.00  rho[g/cc]=  3.6905333   rmin=  3.38067237723  CN(rmin)=  10.2709616913  +-  0.104724047273    Nj=  49  Nj/V[1/A^3]=  0.0671315669245
#75   GPa  Pb-O  T[K]=  5000.00  rho[g/cc]=  4.0951077   rmin=  3.43636494826  CN(rmin)=  11.8289738656  +-  0.0408559859511   Nj=  49  Nj/V[1/A^3]=  0.0744908591578
#100  GPa  Pb-O  T[K]=  5000.00  rho[g/cc]=  4.39530441  rmin=  3.3799958187   CN(rmin)=  11.8139043939  +-  0.0547826157153   Nj=  49  Nj/V[1/A^3]=  0.0799514996682
